,state,fips,cases,deaths,employed-sugar-intake-daily
26585,West Virginia,54,643270,8104,46.1 
26586,Wisconsin,55,2007241,16440,29.7 
26587,Alaska,2,308399,1438,26.2 
26588,Arizona,4,2444144,33104,33.0 
26589,California,6,12135588,104038,22.9 
26590,Connecticut,9,977313,12230,18.9 
26591,District of Columbia,11,177945,1432,18.5 
26592,Indiana,18,2051104,26115,35.9 
26593,Iowa,19,903991,10727,34.2 
26594,Kansas,20,938200,10208,32.4 
