,state,fips,cases,deaths,employed-sugar-intake-daily
0,California,6,1,0,22.9 
1,Arizona,4,1,0,33.0 
2,California,6,2,0,22.9 
3,Arizona,4,1,0,33.0 
4,California,6,2,0,22.9 
5,Arizona,4,1,0,33.0 
6,California,6,2,0,22.9 
7,Arizona,4,1,0,33.0 
8,California,6,2,0,22.9 
9,Arizona,4,1,0,33.0 
10,California,6,2,0,22.9 
11,Arizona,4,1,0,33.0 
12,California,6,3,0,22.9 
13,Arizona,4,1,0,33.0 
14,California,6,3,0,22.9 
15,Arizona,4,1,0,33.0 
16,California,6,6,0,22.9 
17,Arizona,4,1,0,33.0 
18,California,6,6,0,22.9 
19,Arizona,4,1,0,33.0 
20,California,6,6,0,22.9 
21,Arizona,4,1,0,33.0 
22,California,6,6,0,22.9 
23,Wisconsin,55,1,0,29.7 
24,Arizona,4,1,0,33.0 
25,California,6,6,0,22.9 
26,Wisconsin,55,1,0,29.7 
27,Arizona,4,1,0,33.0 
28,California,6,6,0,22.9 
29,Wisconsin,55,1,0,29.7 
30,Arizona,4,1,0,33.0 
31,California,6,6,0,22.9 
32,Wisconsin,55,1,0,29.7 
33,Arizona,4,1,0,33.0 
34,California,6,6,0,22.9 
35,Wisconsin,55,1,0,29.7 
36,Arizona,4,1,0,33.0 
37,California,6,7,0,22.9 
38,Wisconsin,55,1,0,29.7 
39,Arizona,4,1,0,33.0 
40,California,6,7,0,22.9 
41,Wisconsin,55,1,0,29.7 
42,Arizona,4,1,0,33.0 
43,California,6,7,0,22.9 
44,Wisconsin,55,1,0,29.7 
45,Arizona,4,1,0,33.0 
46,California,6,7,0,22.9 
47,Wisconsin,55,1,0,29.7 
48,Arizona,4,1,0,33.0 
49,California,6,7,0,22.9 
50,Wisconsin,55,1,0,29.7 
51,Arizona,4,1,0,33.0 
52,California,6,7,0,22.9 
53,Wisconsin,55,1,0,29.7 
54,Arizona,4,1,0,33.0 
55,California,6,7,0,22.9 
56,Wisconsin,55,1,0,29.7 
57,Arizona,4,1,0,33.0 
58,California,6,7,0,22.9 
59,Nebraska,31,10,0,31.1 
60,Wisconsin,55,1,0,29.7 
61,Arizona,4,1,0,33.0 
62,California,6,7,0,22.9 
63,Nebraska,31,10,0,31.1 
64,Wisconsin,55,1,0,29.7 
65,Arizona,4,1,0,33.0 
66,California,6,7,0,22.9 
67,Nebraska,31,10,0,31.1 
68,Wisconsin,55,1,0,29.7 
69,Arizona,4,1,0,33.0 
70,California,6,8,0,22.9 
71,Nebraska,31,11,0,31.1 
72,Wisconsin,55,1,0,29.7 
73,Arizona,4,1,0,33.0 
74,California,6,9,0,22.9 
75,Nebraska,31,11,0,31.1 
76,Wisconsin,55,1,0,29.7 
77,Arizona,4,1,0,33.0 
78,California,6,9,0,22.9 
79,Nebraska,31,11,0,31.1 
80,Wisconsin,55,1,0,29.7 
81,Arizona,4,1,0,33.0 
82,California,6,9,0,22.9 
83,Nebraska,31,11,0,31.1 
84,Wisconsin,55,1,0,29.7 
85,Arizona,4,1,0,33.0 
86,California,6,11,0,22.9 
87,Nebraska,31,12,0,31.1 
88,Wisconsin,55,1,0,29.7 
89,Arizona,4,1,0,33.0 
90,California,6,11,0,22.9 
91,Nebraska,31,13,0,31.1 
92,Utah,49,1,0,30.3 
93,Wisconsin,55,1,0,29.7 
94,Arizona,4,1,0,33.0 
95,California,6,26,0,22.9 
96,Nebraska,31,13,0,31.1 
97,Utah,49,1,0,30.3 
98,Wisconsin,55,1,0,29.7 
99,Arizona,4,1,0,33.0 
100,California,6,26,0,22.9 
101,Nebraska,31,13,0,31.1 
102,Utah,49,1,0,30.3 
103,Wisconsin,55,1,0,29.7 
104,Arizona,4,1,0,33.0 
105,California,6,27,0,22.9 
106,Nebraska,31,13,0,31.1 
107,Utah,49,1,0,30.3 
108,Wisconsin,55,1,0,29.7 
109,Arizona,4,1,0,33.0 
110,California,6,28,0,22.9 
111,Nebraska,31,13,0,31.1 
112,Utah,49,1,0,30.3 
113,Wisconsin,55,1,0,29.7 
114,Arizona,4,1,0,33.0 
115,California,6,33,0,22.9 
116,Nebraska,31,13,0,31.1 
117,New York,36,1,0,23.1 
118,Utah,49,1,0,30.3 
119,Wisconsin,55,1,0,29.7 
120,Arizona,4,1,0,33.0 
121,California,6,38,0,22.9 
122,Nebraska,31,13,0,31.1 
123,New York,36,1,0,23.1 
124,Utah,49,1,0,30.3 
125,Wisconsin,55,1,0,29.7 
126,Arizona,4,2,0,33.0 
127,California,6,45,0,22.9 
128,Nebraska,31,13,0,31.1 
129,New York,36,2,0,23.1 
130,North Carolina,37,1,0,42.1 
131,Utah,49,1,0,30.3 
132,Wisconsin,55,1,0,29.7 
133,Arizona,4,2,0,33.0 
134,California,6,55,1,22.9 
135,Nebraska,31,13,0,31.1 
136,New Jersey,34,1,0,22.7 
137,New York,36,11,0,23.1 
138,North Carolina,37,1,0,42.1 
139,Utah,49,1,0,30.3 
140,Wisconsin,55,1,0,29.7 
141,Arizona,4,2,0,33.0 
142,California,6,67,1,22.9 
143,Maryland,24,3,0,28.0 
144,Nebraska,31,13,0,31.1 
145,New Jersey,34,2,0,22.7 
146,New York,36,22,0,23.1 
147,North Carolina,37,1,0,42.1 
148,Utah,49,1,0,30.3 
149,Wisconsin,55,1,0,29.7 
150,Arizona,4,3,0,33.0 
151,California,6,81,1,22.9 
152,Indiana,18,1,0,35.9 
153,Kentucky,21,1,0,43.4 
154,Maryland,24,3,0,28.0 
155,Minnesota,27,1,0,23.5 
156,Nebraska,31,14,0,31.1 
157,New Jersey,34,4,0,22.7 
158,New York,36,44,0,23.1 
159,North Carolina,37,2,0,42.1 
160,Oklahoma,40,1,0,46.5 
161,South Carolina,45,2,0,42.0 
162,Utah,49,3,0,30.3 
163,Wisconsin,55,1,0,29.7 
164,Arizona,4,5,0,33.0 
165,California,6,100,1,22.9 
166,District of Columbia,11,1,0,18.5 
167,Indiana,18,1,0,35.9 
168,Kansas,20,1,0,32.4 
169,Kentucky,21,1,0,43.4 
170,Maryland,24,3,0,28.0 
171,Minnesota,27,1,0,23.5 
172,Nebraska,31,14,0,31.1 
173,New Jersey,34,4,0,22.7 
174,New York,36,89,0,23.1 
175,North Carolina,37,2,0,42.1 
176,Oklahoma,40,1,0,46.5 
177,South Carolina,45,2,0,42.0 
178,Utah,49,3,0,30.3 
179,Vermont,50,1,0,16.7 
180,Wisconsin,55,1,0,29.7 
181,Arizona,4,5,0,33.0 
182,California,6,112,1,22.9 
183,Connecticut,9,1,0,18.9 
184,District of Columbia,11,1,0,18.5 
185,Indiana,18,2,0,35.9 
186,Iowa,19,3,0,34.2 
187,Kansas,20,1,0,32.4 
188,Kentucky,21,4,0,43.4 
189,Maryland,24,5,0,28.0 
190,Minnesota,27,2,0,23.5 
191,Nebraska,31,16,0,31.1 
192,New Jersey,34,6,0,22.7 
193,New York,36,106,0,23.1 
194,North Carolina,37,2,0,42.1 
195,Oklahoma,40,1,0,46.5 
196,South Carolina,45,6,0,42.0 
197,Utah,49,3,0,30.3 
198,Vermont,50,1,0,16.7 
199,Wisconsin,55,1,0,29.7 
200,Arizona,4,6,0,33.0 
201,California,6,172,2,22.9 
202,Connecticut,9,2,0,18.9 
203,District of Columbia,11,4,0,18.5 
204,Indiana,18,4,0,35.9 
205,Iowa,19,8,0,34.2 
206,Kansas,20,1,0,32.4 
207,Kentucky,21,5,0,43.4 
208,Louisiana,22,1,0,46.9 
209,Maryland,24,6,0,28.0 
210,Minnesota,27,2,0,23.5 
211,Nebraska,31,16,0,31.1 
212,New Jersey,34,11,0,22.7 
213,New York,36,142,0,23.1 
214,North Carolina,37,7,0,42.1 
215,Ohio,39,3,0,32.0 
216,Oklahoma,40,1,0,46.5 
217,South Carolina,45,7,0,42.0 
218,Utah,49,3,0,30.3 
219,Vermont,50,1,0,16.7 
220,Wisconsin,55,2,0,29.7 
221,Arizona,4,6,0,33.0 
222,California,6,179,3,22.9 
223,Connecticut,9,2,0,18.9 
224,District of Columbia,11,4,0,18.5 
225,Indiana,18,6,0,35.9 
226,Iowa,19,13,0,34.2 
227,Kansas,20,1,0,32.4 
228,Kentucky,21,7,0,43.4 
229,Louisiana,22,6,0,46.9 
230,Maryland,24,9,0,28.0 
231,Minnesota,27,3,0,23.5 
232,Nebraska,31,17,0,31.1 
233,New Jersey,34,15,1,22.7 
234,New York,36,173,0,23.1 
235,North Carolina,37,7,0,42.1 
236,Ohio,39,3,0,32.0 
237,Oklahoma,40,2,0,46.5 
238,South Carolina,45,9,0,42.0 
239,Utah,49,4,0,30.3 
240,Vermont,50,1,0,16.7 
241,Wisconsin,55,3,0,29.7 
242,Arizona,4,9,0,33.0 
243,California,6,202,4,22.9 
244,Connecticut,9,3,0,18.9 
245,District of Columbia,11,10,0,18.5 
246,Indiana,18,11,0,35.9 
247,Iowa,19,14,0,34.2 
248,Kansas,20,1,0,32.4 
249,Kentucky,21,7,0,43.4 
250,Louisiana,22,13,0,46.9 
251,Maryland,24,13,0,28.0 
252,Minnesota,27,5,0,23.5 
253,Mississippi,28,1,0,49.7 
254,Nebraska,31,23,0,31.1 
255,New Jersey,34,23,1,22.7 
256,New York,36,217,0,23.1 
257,North Carolina,37,8,0,42.1 
258,Ohio,39,4,0,32.0 
259,Oklahoma,40,2,0,46.5 
260,South Carolina,45,10,0,42.0 
261,Utah,49,5,0,30.3 
262,Vermont,50,2,0,16.7 
263,Wisconsin,55,6,0,29.7 
264,Alaska,2,1,0,26.2 
265,Arizona,4,9,0,33.0 
266,California,6,252,4,22.9 
267,Connecticut,9,6,0,18.9 
268,District of Columbia,11,10,0,18.5 
269,Indiana,18,12,0,35.9 
270,Iowa,19,16,0,34.2 
271,Kansas,20,5,1,32.4 
272,Kentucky,21,11,0,43.4 
273,Louisiana,22,14,0,46.9 
274,Maryland,24,13,0,28.0 
275,Minnesota,27,9,0,23.5 
276,Mississippi,28,1,0,49.7 
277,Nebraska,31,24,0,31.1 
278,New Jersey,34,29,1,22.7 
279,New York,36,326,0,23.1 
280,North Carolina,37,16,0,42.1 
281,Ohio,39,5,0,32.0 
282,Oklahoma,40,2,0,46.5 
283,South Carolina,45,12,0,42.0 
284,Utah,49,7,0,30.3 
285,Vermont,50,2,0,16.7 
286,Wisconsin,55,8,0,29.7 
287,Alaska,2,1,0,26.2 
288,Arizona,4,9,0,33.0 
289,California,6,320,5,22.9 
290,Connecticut,9,11,0,18.9 
291,District of Columbia,11,10,0,18.5 
292,Indiana,18,12,0,35.9 
293,Iowa,19,17,0,34.2 
294,Kansas,20,6,1,32.4 
295,Kentucky,21,11,0,43.4 
296,Louisiana,22,36,0,46.9 
297,Maryland,24,18,0,28.0 
298,Minnesota,27,14,0,23.5 
299,Mississippi,28,6,0,49.7 
300,Nebraska,31,27,0,31.1 
301,New Jersey,34,50,1,22.7 
302,New York,36,421,0,23.1 
303,North Carolina,37,18,0,42.1 
304,Ohio,39,13,0,32.0 
305,Oklahoma,40,3,0,46.5 
306,South Carolina,45,13,0,42.0 
307,Utah,49,7,0,30.3 
308,Vermont,50,2,0,16.7 
309,Wisconsin,55,19,0,29.7 
310,Alaska,2,1,0,26.2 
311,Arizona,4,12,0,33.0 
312,California,6,381,5,22.9 
313,Connecticut,9,20,0,18.9 
314,District of Columbia,11,16,0,18.5 
315,Indiana,18,15,0,35.9 
316,Iowa,19,18,0,34.2 
317,Kansas,20,8,1,32.4 
318,Kentucky,21,18,0,43.4 
319,Louisiana,22,77,1,46.9 
320,Maryland,24,27,0,28.0 
321,Minnesota,27,21,0,23.5 
322,Mississippi,28,6,0,49.7 
323,Nebraska,31,29,0,31.1 
324,New Jersey,34,75,2,22.7 
325,New York,36,610,2,23.1 
326,North Carolina,37,25,0,42.1 
327,Ohio,39,26,0,32.0 
328,Oklahoma,40,4,0,46.5 
329,South Carolina,45,19,0,42.0 
330,Utah,49,21,0,30.3 
331,Vermont,50,5,0,16.7 
332,Wisconsin,55,27,0,29.7 
333,Alaska,2,1,0,26.2 
334,Arizona,4,13,0,33.0 
335,California,6,478,6,22.9 
336,Connecticut,9,26,0,18.9 
337,District of Columbia,11,17,0,18.5 
338,Indiana,18,19,0,35.9 
339,Iowa,19,22,0,34.2 
340,Kansas,20,9,1,32.4 
341,Kentucky,21,21,0,43.4 
342,Louisiana,22,103,2,46.9 
343,Maryland,24,32,0,28.0 
344,Minnesota,27,35,0,23.5 
345,Mississippi,28,10,0,49.7 
346,Nebraska,31,31,0,31.1 
347,New Jersey,34,98,2,22.7 
348,New York,36,732,6,23.1 
349,North Carolina,37,32,0,42.1 
350,Ohio,39,37,0,32.0 
351,Oklahoma,40,8,0,46.5 
352,South Carolina,45,28,0,42.0 
353,Utah,49,29,0,30.3 
354,Vermont,50,8,0,16.7 
355,Wisconsin,55,33,0,29.7 
356,Alaska,2,3,0,26.2 
357,Arizona,4,18,0,33.0 
358,California,6,588,11,22.9 
359,Connecticut,9,41,0,18.9 
360,District of Columbia,11,22,0,18.5 
361,Indiana,18,24,1,35.9 
362,Iowa,19,22,0,34.2 
363,Kansas,20,11,1,32.4 
364,Kentucky,21,22,1,43.4 
365,Louisiana,22,137,3,46.9 
366,Maryland,24,39,0,28.0 
367,Minnesota,27,54,0,23.5 
368,Mississippi,28,12,0,49.7 
369,Nebraska,31,33,0,31.1 
370,New Jersey,34,176,3,22.7 
371,New York,36,950,10,23.1 
372,North Carolina,37,34,0,42.1 
373,Ohio,39,50,0,32.0 
374,Oklahoma,40,10,0,46.5 
375,South Carolina,45,33,1,42.0 
376,Utah,49,40,0,30.3 
377,Vermont,50,12,0,16.7 
378,Wisconsin,55,47,0,29.7 
379,Alaska,2,6,0,26.2 
380,Arizona,4,20,0,33.0 
381,California,6,732,14,22.9 
382,Connecticut,9,68,0,18.9 
383,District of Columbia,11,31,0,18.5 
384,Indiana,18,30,2,35.9 
385,Iowa,19,29,0,34.2 
386,Kansas,20,17,1,32.4 
387,Kentucky,21,26,1,43.4 
388,Louisiana,22,196,5,46.9 
389,Maryland,24,57,0,28.0 
390,Minnesota,27,60,0,23.5 
391,Mississippi,28,21,0,49.7 
392,Nebraska,31,36,0,31.1 
393,New Jersey,34,268,3,22.7 
394,New York,36,1375,18,23.1 
395,North Carolina,37,42,0,42.1 
396,Ohio,39,67,0,32.0 
397,Oklahoma,40,18,0,46.5 
398,South Carolina,45,47,1,42.0 
399,Utah,49,51,0,30.3 
400,Vermont,50,14,0,16.7 
401,West Virginia,54,1,0,46.1 
402,Wisconsin,55,72,0,29.7 
403,Alaska,2,9,0,26.2 
404,Arizona,4,28,0,33.0 
405,California,6,893,17,22.9 
406,Connecticut,9,96,1,18.9 
407,District of Columbia,11,36,0,18.5 
408,Indiana,18,39,2,35.9 
409,Iowa,19,38,0,34.2 
410,Kansas,20,22,1,32.4 
411,Kentucky,21,35,1,43.4 
412,Louisiana,22,280,7,46.9 
413,Maryland,24,85,1,28.0 
414,Minnesota,27,77,0,23.5 
415,Mississippi,28,34,0,49.7 
416,Nebraska,31,43,0,31.1 
417,New Jersey,34,427,5,22.7 
418,New York,36,2387,32,23.1 
419,North Carolina,37,66,0,42.1 
420,Ohio,39,90,0,32.0 
421,Oklahoma,40,29,0,46.5 
422,South Carolina,45,60,1,42.0 
423,Utah,49,65,0,30.3 
424,Vermont,50,19,0,16.7 
425,West Virginia,54,2,0,46.1 
426,Wisconsin,55,106,0,29.7 
427,Alaska,2,12,0,26.2 
428,Arizona,4,47,0,33.0 
429,California,6,1067,19,22.9 
430,Connecticut,9,159,4,18.9 
431,District of Columbia,11,39,0,18.5 
432,Indiana,18,56,2,35.9 
433,Iowa,19,44,0,34.2 
434,Kansas,20,35,1,32.4 
435,Kentucky,21,47,2,43.4 
436,Louisiana,22,392,10,46.9 
437,Maryland,24,108,1,28.0 
438,Minnesota,27,89,0,23.5 
439,Mississippi,28,50,1,49.7 
440,Nebraska,31,47,0,31.1 
441,New Jersey,34,735,9,22.7 
442,New York,36,4161,39,23.1 
443,North Carolina,37,104,0,42.1 
444,Ohio,39,120,0,32.0 
445,Oklahoma,40,44,1,46.5 
446,South Carolina,45,81,1,42.0 
447,Utah,49,80,0,30.3 
448,Vermont,50,22,2,16.7 
449,West Virginia,54,5,0,46.1 
450,Wisconsin,55,155,2,29.7 
451,Alaska,2,14,0,26.2 
452,Arizona,4,70,1,33.0 
453,California,6,1283,24,22.9 
454,Connecticut,9,194,4,18.9 
455,District of Columbia,11,71,0,18.5 
456,Indiana,18,81,5,35.9 
457,Iowa,19,45,0,34.2 
458,Kansas,20,49,1,32.4 
459,Kentucky,21,63,2,43.4 
460,Louisiana,22,537,10,46.9 
461,Maryland,24,150,2,28.0 
462,Minnesota,27,115,0,23.5 
463,Mississippi,28,80,1,49.7 
464,Nebraska,31,53,0,31.1 
465,New Jersey,34,896,11,22.7 
466,New York,36,7113,68,23.1 
467,North Carolina,37,144,0,42.1 
468,Ohio,39,169,1,32.0 
469,Oklahoma,40,49,1,46.5 
470,South Carolina,45,126,3,42.0 
471,Utah,49,112,0,30.3 
472,Vermont,50,29,2,16.7 
473,West Virginia,54,8,0,46.1 
474,Wisconsin,55,216,3,29.7 
475,Alaska,2,21,0,26.2 
476,Arizona,4,104,1,33.0 
477,California,6,1544,28,22.9 
478,Connecticut,9,223,5,18.9 
479,District of Columbia,11,77,1,18.5 
480,Indiana,18,128,6,35.9 
481,Iowa,19,68,0,34.2 
482,Kansas,20,57,2,32.4 
483,Kentucky,21,84,3,43.4 
484,Louisiana,22,763,16,46.9 
485,Maryland,24,195,3,28.0 
486,Minnesota,27,138,1,23.5 
487,Mississippi,28,140,1,49.7 
488,Nebraska,31,61,0,31.1 
489,New Jersey,34,1336,16,22.7 
490,New York,36,10371,95,23.1 
491,North Carolina,37,184,0,42.1 
492,Ohio,39,247,3,32.0 
493,Oklahoma,40,53,1,46.5 
494,South Carolina,45,172,3,42.0 
495,Utah,49,138,0,30.3 
496,Vermont,50,49,2,16.7 
497,West Virginia,54,12,0,46.1 
498,Wisconsin,55,281,4,29.7 
499,Alaska,2,22,0,26.2 
500,Arizona,4,153,2,33.0 
501,California,6,1851,35,22.9 
502,Connecticut,9,327,8,18.9 
503,District of Columbia,11,98,1,18.5 
504,Indiana,18,204,9,35.9 
505,Iowa,19,90,0,34.2 
506,Kansas,20,66,2,32.4 
507,Kentucky,21,103,3,43.4 
508,Louisiana,22,837,20,46.9 
509,Maryland,24,245,3,28.0 
510,Minnesota,27,171,1,23.5 
511,Mississippi,28,207,1,49.7 
512,Nebraska,31,62,0,31.1 
513,New Jersey,34,1914,20,22.7 
514,New York,36,15188,142,23.1 
515,North Carolina,37,269,0,42.1 
516,Ohio,39,351,3,32.0 
517,Oklahoma,40,67,2,46.5 
518,South Carolina,45,194,3,42.0 
519,Utah,49,182,1,30.3 
520,Vermont,50,52,2,16.7 
521,West Virginia,54,16,0,46.1 
522,Wisconsin,55,382,4,29.7 
523,Alaska,2,36,0,26.2 
524,Arizona,4,234,2,33.0 
525,California,6,2240,39,22.9 
526,Connecticut,9,415,10,18.9 
527,District of Columbia,11,116,2,18.5 
528,Indiana,18,264,12,35.9 
529,Iowa,19,105,0,34.2 
530,Kansas,20,82,2,32.4 
531,Kentucky,21,124,3,43.4 
532,Louisiana,22,1172,34,46.9 
533,Maryland,24,290,3,28.0 
534,Minnesota,27,235,1,23.5 
535,Mississippi,28,249,1,49.7 
536,Nebraska,31,73,0,31.1 
537,New Jersey,34,2844,27,22.7 
538,New York,36,20899,183,23.1 
539,North Carolina,37,302,0,42.1 
540,Ohio,39,444,6,32.0 
541,Oklahoma,40,81,2,46.5 
542,South Carolina,45,299,5,42.0 
543,Utah,49,257,1,30.3 
544,Vermont,50,75,2,16.7 
545,West Virginia,54,16,0,46.1 
546,Wisconsin,55,418,5,29.7 
547,Alaska,2,42,0,26.2 
548,Arizona,4,326,6,33.0 
549,California,6,2644,52,22.9 
550,Connecticut,9,618,12,18.9 
551,District of Columbia,11,137,2,18.5 
552,Indiana,18,371,17,35.9 
553,Iowa,19,124,1,34.2 
554,Kansas,20,102,3,32.4 
555,Kentucky,21,157,3,43.4 
556,Louisiana,22,1388,46,46.9 
557,Maryland,24,349,4,28.0 
558,Minnesota,27,264,1,23.5 
559,Mississippi,28,320,1,49.7 
560,Nebraska,31,77,0,31.1 
561,New Jersey,34,3675,44,22.7 
562,New York,36,25704,264,23.1 
563,North Carolina,37,397,0,42.1 
564,Ohio,39,564,8,32.0 
565,Oklahoma,40,106,3,46.5 
566,South Carolina,45,342,8,42.0 
567,Utah,49,299,1,30.3 
568,Vermont,50,95,7,16.7 
569,West Virginia,54,39,0,46.1 
570,Wisconsin,55,481,5,29.7 
571,Alaska,2,59,0,26.2 
572,Arizona,4,402,6,33.0 
573,California,6,3183,68,22.9 
574,Connecticut,9,875,19,18.9 
575,District of Columbia,11,183,2,18.5 
576,Indiana,18,484,19,35.9 
577,Iowa,19,147,1,34.2 
578,Kansas,20,134,3,32.4 
579,Kentucky,21,198,5,43.4 
580,Louisiana,22,1795,65,46.9 
581,Maryland,24,423,4,28.0 
582,Minnesota,27,289,1,23.5 
583,Mississippi,28,376,5,49.7 
584,Nebraska,31,84,0,31.1 
585,New Jersey,34,4402,62,22.7 
586,New York,36,33117,381,23.1 
587,North Carolina,37,562,1,42.1 
588,Ohio,39,707,11,32.0 
589,Oklahoma,40,164,5,46.5 
590,South Carolina,45,425,8,42.0 
591,Utah,49,346,1,30.3 
592,Vermont,50,123,8,16.7 
593,West Virginia,54,51,0,46.1 
594,Wisconsin,55,623,7,29.7 
595,Alaska,2,69,0,26.2 
596,Arizona,4,508,8,33.0 
597,California,6,4060,83,22.9 
598,Connecticut,9,1012,21,18.9 
599,District of Columbia,11,231,3,18.5 
600,Indiana,18,661,23,35.9 
601,Iowa,19,179,1,34.2 
602,Kansas,20,173,3,32.4 
603,Kentucky,21,248,5,43.4 
604,Louisiana,22,2305,83,46.9 
605,Maryland,24,581,4,28.0 
606,Minnesota,27,346,2,23.5 
607,Mississippi,28,486,6,49.7 
608,Nebraska,31,91,0,31.1 
609,New Jersey,34,6876,82,22.7 
610,New York,36,39058,502,23.1 
611,North Carolina,37,639,2,42.1 
612,Ohio,39,867,15,32.0 
613,Oklahoma,40,248,7,46.5 
614,South Carolina,45,456,9,42.0 
615,Utah,49,402,1,30.3 
616,Vermont,50,158,9,16.7 
617,West Virginia,54,76,0,46.1 
618,Wisconsin,55,754,10,29.7 
619,Alaska,2,85,1,26.2 
620,Arizona,4,665,15,33.0 
621,California,6,4915,104,22.9 
622,Connecticut,9,1291,27,18.9 
623,District of Columbia,11,267,3,18.5 
624,Indiana,18,992,32,35.9 
625,Iowa,19,236,3,34.2 
626,Kansas,20,213,4,32.4 
627,Kentucky,21,302,8,43.4 
628,Louisiana,22,2746,119,46.9 
629,Maryland,24,790,5,28.0 
630,Minnesota,27,398,4,23.5 
631,Mississippi,28,579,8,49.7 
632,Nebraska,31,102,2,31.1 
633,New Jersey,34,8825,108,22.7 
634,New York,36,44746,645,23.1 
635,North Carolina,37,784,3,42.1 
636,Ohio,39,1144,22,32.0 
637,Oklahoma,40,322,8,46.5 
638,South Carolina,45,542,13,42.0 
639,Utah,49,480,2,30.3 
640,Vermont,50,184,10,16.7 
641,West Virginia,54,96,0,46.1 
642,Wisconsin,55,930,16,29.7 
643,Alaska,2,102,1,26.2 
644,Arizona,4,773,15,33.0 
645,California,6,5566,122,22.9 
646,Connecticut,9,1524,33,18.9 
647,District of Columbia,11,304,4,18.5 
648,Indiana,18,1239,38,35.9 
649,Iowa,19,298,3,34.2 
650,Kansas,20,272,6,32.4 
651,Kentucky,21,394,9,43.4 
652,Louisiana,22,3315,137,46.9 
653,Maryland,24,1066,10,28.0 
654,Minnesota,27,442,5,23.5 
655,Mississippi,28,669,13,49.7 
656,Nebraska,31,122,2,31.1 
657,New Jersey,34,11124,140,22.7 
658,New York,36,53517,935,23.1 
659,North Carolina,37,972,4,42.1 
660,Ohio,39,1406,25,32.0 
661,Oklahoma,40,377,15,46.5 
662,South Carolina,45,661,15,42.0 
663,Utah,49,608,2,30.3 
664,Vermont,50,211,12,16.7 
665,West Virginia,54,113,0,46.1 
666,Wisconsin,55,1042,17,29.7 
667,Alaska,2,114,2,26.2 
668,Arizona,4,930,18,33.0 
669,California,6,6321,132,22.9 
670,Connecticut,9,1993,34,18.9 
671,District of Columbia,11,342,5,18.5 
672,Indiana,18,1522,40,35.9 
673,Iowa,19,336,4,34.2 
674,Kansas,20,333,7,32.4 
675,Kentucky,21,439,9,43.4 
676,Louisiana,22,3539,153,46.9 
677,Maryland,24,1244,11,28.0 
678,Minnesota,27,504,9,23.5 
679,Mississippi,28,759,14,49.7 
680,Nebraska,31,138,2,31.1 
681,New Jersey,34,13386,161,22.7 
682,New York,36,59783,1180,23.1 
683,North Carolina,37,1166,6,42.1 
684,Ohio,39,1665,30,32.0 
685,Oklahoma,40,429,16,46.5 
686,South Carolina,45,775,16,42.0 
687,Utah,49,719,2,30.3 
688,Vermont,50,235,12,16.7 
689,West Virginia,54,124,1,46.1 
690,Wisconsin,55,1120,17,29.7 
691,Alaska,2,120,2,26.2 
692,Arizona,4,1169,20,33.0 
693,California,6,7421,147,22.9 
694,Connecticut,9,2571,36,18.9 
695,District of Columbia,11,401,9,18.5 
696,Indiana,18,1797,44,35.9 
697,Iowa,19,424,6,34.2 
698,Kansas,20,374,9,32.4 
699,Kentucky,21,480,11,43.4 
700,Louisiana,22,4024,186,46.9 
701,Maryland,24,1415,15,28.0 
702,Minnesota,27,576,10,23.5 
703,Mississippi,28,848,16,49.7 
704,Nebraska,31,185,3,31.1 
705,New Jersey,34,16636,199,22.7 
706,New York,36,67504,1512,23.1 
707,North Carolina,37,1303,6,42.1 
708,Ohio,39,1933,40,32.0 
709,Oklahoma,40,481,17,46.5 
710,South Carolina,45,925,18,42.0 
711,Utah,49,806,4,30.3 
712,Vermont,50,256,12,16.7 
713,West Virginia,54,145,1,46.1 
714,Wisconsin,55,1269,20,29.7 
715,Alaska,2,133,2,26.2 
716,Arizona,4,1298,24,33.0 
717,California,6,8583,184,22.9 
718,Connecticut,9,3128,69,18.9 
719,District of Columbia,11,495,9,18.5 
720,Indiana,18,2177,61,35.9 
721,Iowa,19,498,7,34.2 
722,Kansas,20,435,10,32.4 
723,Kentucky,21,590,18,43.4 
724,Louisiana,22,5237,240,46.9 
725,Maryland,24,1662,18,28.0 
726,Minnesota,27,629,12,23.5 
727,Mississippi,28,937,20,49.7 
728,Nebraska,31,199,4,31.1 
729,New Jersey,34,18696,267,22.7 
730,New York,36,76211,1929,23.1 
731,North Carolina,37,1527,10,42.1 
732,Ohio,39,2199,55,32.0 
733,Oklahoma,40,566,23,46.5 
734,South Carolina,45,1083,22,42.0 
735,Utah,49,887,5,30.3 
736,Vermont,50,293,13,16.7 
737,West Virginia,54,162,1,46.1 
738,Wisconsin,55,1351,25,29.7 
739,Alaska,2,143,2,26.2 
740,Arizona,4,1413,29,33.0 
741,California,6,9857,212,22.9 
742,Connecticut,9,3557,85,18.9 
743,District of Columbia,11,586,11,18.5 
744,Indiana,18,2578,80,35.9 
745,Iowa,19,549,9,34.2 
746,Kansas,20,489,11,32.4 
747,Kentucky,21,674,20,43.4 
748,Louisiana,22,6424,275,46.9 
749,Maryland,24,1985,33,28.0 
750,Minnesota,27,689,17,23.5 
751,Mississippi,28,1073,22,49.7 
752,Nebraska,31,249,5,31.1 
753,New Jersey,34,22255,355,22.7 
754,New York,36,84364,2415,23.1 
755,North Carolina,37,1591,11,42.1 
756,Ohio,39,2548,65,32.0 
757,Oklahoma,40,719,30,46.5 
758,South Carolina,45,1293,26,42.0 
759,Utah,49,1012,7,30.3 
